"﻿ROLL_NUMBER","RSN","PID","LAT_LONG","PROPERTY_ADDRESS","PROPERTY_POSTAL_CODE","GEOCODE_ADDRESS","YEAR_BUILT","TYPE","PRIMARY_USE","DESCRIPTION","APPROX_BUILDING_AREA","HVAC","FLOORS","PROPERTY_BUILDINGS","NOTES","ORDER","EUI","ENERGY_STAR_SCORE","GREENHOUSE_GAS_EMISSIONS"
"R033297000","1333","4261844","[46.1992884126055,-120.074029848469]","13631 VULCAN WAY  ","V6V 1K4","13631 VULCAN WAY @","1959","Commercial","Industrial","Warehouse, Storage","118,501","Space Heater","2","1","N/A","162",74,54,43
"R099569099","30622","10367055","[46.145795,-120.179063]","9200 NO 1 RD ","V7C 5M4","9200 NO 1 RD","N/A","Institutional","Schools & Universities, College Or Technical Schools","Secondary School","151,358","N/A","2","1","Hugh Boyd Secondary","115",29,29,97
"R057573004","3678","658766","[46.1763554641584,-120.139139038886]","7880 ALDERBRIDGE WAY  ","V6X 2A5","7880 ALDERBRIDGE WAY @","1971","Commercial","Storage & Warehousing","Warehouse, Storage","118,444","Space Heater","2","1","N/A","163",108,39,39
"R005291000","86429","24803677","[46.16501,-119.98669]","6900 GRAYBAR RD  ","V6W 0A5","6900 GRAYBAR RD @","2010","Commercial","Storage & Warehousing","Industrial Flex Building","118,048","N/A","2","2","C15 - Refer to Lat/Long","338",85,43,87
"R031968086","66204","23510692","[46.1363278804955,-120.066291126526]","14140 TRIANGLE RD  ","V6W 1B1","14140 TRIANGLE RD @","1994","Institutional","Recreational & Cultural Buildings","Skating Rink","147,883","Package Unit","1","1","Springfield Ice Centre","118",70,56,93
"R058194225","68044","4919742","[46.170463,-120.158047]","5900 NO 2 RD  ","V7C 4R9","5900 NO 2 RD","1976","Commercial","Storage & Warehousing","Warehouse, Storage","118,021","Package Unit","2","1","N/A","58",49,96,109
"R033846000","1436","3799492","[46.1963614,-120.0756709]","2471 VIKING WAY  ","V6V 1N3","2471 VIKING WAY @","1969","Commercial","Storage & Warehousing","Warehouse, Storage","117,710","FLR FURNACE","1","1","N/A","88",56,32,31
"R033638705","1429","14369869","[46.198073,-120.08221]","12751 VULCAN WAY  ","V6V 1J7","12751 VULCAN WAY @","2007","Commercial","Storage & Warehousing","Industrial Flex Building","117,649","Package Unit","2","4","C7","67",51,59,52
"R082315001","58044","18150675","[46.186326169354,-120.133961610509]","3700 NO 3 RD  ","V6X 3X2","3700 NO 3 RD","1994","Commercial","Commercial Strata-Lot","Strata General Commercial","116,221","Package Unit","2","1","Yaohan Centre","150",26,24,70
"R073750061","15658","543993","[46.139331,-120.138461]","10151 NO 3 RD ","V7A 4R6","10151 NO 3 RD","1976","Commercial","Shopping Centre (Neighbourhood)","Neighbourhood Shopping Centre","116,045","Package Unit","2","1","N/A","167",93,40,41
"R033707002","86842","24886262","[46.1940571363901,-120.08145988957]","2700 SWEDEN WAY  ","V6V 2W8","2700 SWEDEN WAY @","1996","Commercial","Big Box","Discount Store","114,946","Package Unit","1","1","Home Depot","168",70,89,26
"R005291000","86429","24803677","[46.164342,-119.988341]","6900 GRAYBAR RD  ","V6W 0A5","6900 GRAYBAR RD @","2010","Commercial","Storage & Warehousing","Industrial Flex Building","114,558","N/A","3","2","C15 - Refer to Lat/Long","339",59,38,98
"R039828002","41615","5973619","[46.1885274161362,-120.074577326035]","13511 CRESTWOOD PL  ","V6V 2E9","13511 CRESTWOOD PL @","1987","Commercial","Storage & Warehousing","Industrial Flex Building","114,325","Package Unit","2","1","N/A","169",56,80,65
"R057202000","54708","17326079","[46.1749365156751,-120.127387691885]","8771 LANSDOWNE RD  ","V6X 3V8","8771 LANSDOWNE RD @","N/A","Institutional","Schools & Universities, College Or Technical Schools","College","144,450","N/A","2","1","Kwantlen Polytechnic University","127",99,89,92
"R118023001","126686","26623978","[46.2036290740729,-120.083306581848]","12520 MITCHELL RD  ","V6V 1M8","12520 MITCHELL RD @","2006","Commercial","Industrial","Industrial Light Manufacturing","114,266","N/A","1","1","N/A","170",99,61,94
"R005290000","92610","24803651","[46.166512,-119.987685]","21300 GORDON WAY  ","V6W 1J8","21300 GORDON WAY @","2001","Commercial","Storage & Warehousing","Industrial Flex Building","113,422","Package Unit","2","2","C28","505",87,61,48
"R056837000","38658","1713876","[46.1725732063569,-120.135110582416]","8111 ACKROYD RD  ","V6X 3J9","8111 ACKROYD RD @","1992","Commercial","Shopping Centre (Community)","Community Shopping Centre","112,867","N/A","1","1","N/A","175",27,68,41
"R117094040","155438","28245628","[46.2027801075849,-120.104135952115]","11331 TWIGG PL  ","V6V 3C9","11331 TWIGG PL @","2007","Commercial","Storage & Warehousing","Warehouse, Storage","112,337","N/A","1","1","N/A","176",48,104,62
"R041674006","50392","15564258","[46.1829247546053,-120.072333678789]","4620 VIKING WAY  ","V6V 2L5","4620 VIKING WAY @","1990","Commercial","Storage & Warehousing","Industrial Flex Building","111,986","Package Unit","2","1","N/A","179",60,45,56
"R078985999","129156","17483115","[46.1974684775071,-120.118061914105]","9800 VAN HORNE WAY  ","V6X 1W5","9800 VAN HORNE WAY","1975","Commercial","Storage & Warehousing","Warehouse, Storage","111,641","Package Unit","2","1","N/A","180",57,93,52
"R117095055","131417","26884241","[46.2008223561497,-120.100495845678]","11488 EBURNE WAY  ","V6V 3E1","11488 EBURNE WAY @","2007","Commercial","Storage & Warehousing","Warehouse, Storage","110,922","N/A","1","1","N/A","181",78,98,50
"R130651000","81195","N/A","[46.181007,-120.161246]","5911 AIRPORT RD S  ","V7B 1B5","5911 AIRPORT RD @","1998","Commercial","Industrial","Hangar, Maintenance & Office","110,240","Warmed and Cooled Air","2","2","C1 - Airport Warehouse Area","18",60,69,59
"R082249001","152610","28140141","[46.190135,-120.134562]","3333 CORVETTE WAY  ","V6X 0E3","3333 CORVETTE WAY @","2009","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","115,938","ELEC BBOARD","15","3","R1","136",61,32,93
"R082249111","152378","28141253","[46.190339,-120.133838]","3111 CORVETTE WAY  ","V6X 4K3","3111 CORVETTE WAY @","2009","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","107,318","ELEC BBOARD","15","3","R1","137",65,77,115
"R006891088","156041","28291085","[46.156701,-120.019714]","7433 NELSON RD  ","V6W 1G3","7433 NELSON RD @","2007","Commercial","Storage & Warehousing","Warehouse, Storage","110,140","Space Heater","1","2","C14 - Refer to Lat/Long","184",89,54,50
"R117112009","43045","8591946","[46.200587,-120.09445]","11566 EBURNE WAY  ","V6V 2G7","11566 EBURNE WAY @","1985","Commercial","Storage & Warehousing","Warehouse, Storage","109,643","Electric","2","1","N/A","185",35,62,87
"R033860000","1447","1452894","[46.1929333040129,-120.070305599897]","13951 BRIDGEPORT RD  ","V6V 1J6","13951 BRIDGEPORT RD @","1972","Commercial","Storage & Warehousing","Warehouse, Distribution","109,407","Package Unit","2","1","N/A","188",104,114,37
"R130536000","35173","N/A","[46.180684,-120.158634]","5455 AIRPORT RD S  ","V7B 1B5","5455 AIRPORT RD @","1981","Commercial","Industrial","Hangar, Maintenance & Office","108,240","Package Unit","2","2","C1 - Airport Warehouse Area","17",129,113,89
"R033638705","112081","14369869","[46.198147,-120.08096]","12753 VULCAN WAY  ","V6V 1J7","12753 VULCAN WAY @","2007","Commercial","Storage & Warehousing","Industrial Flex Building","107,922","Package Unit","2","4","C7","66",76,64,90
"R058271293","68107","4919556","[46.171053,-120.1545446]","6651 WESTMINSTER HWY  ","V7C 4N1","6651 WESTMINSTER HWY @","1981","Commercial","Storage & Warehousing","Warehouse, Storage","106,339","Package Unit","2","2","C9","84",104,85,58
"R081023048","19832","3447979","[46.1860965591466,-120.106046406118]","10271 SHELLBRIDGE WAY  ","V6X 2W8","10271 SHELLBRIDGE WAY @","1998","Commercial","Office Building (Primary Use)","Office","105,585","Complete HVAC","3","1","N/A","190",75,29,127
"R033577001","46523","3889360","[46.1970394769012,-120.084047665483]","12631 VULCAN WAY  ","V6V 1J7","12631 VULCAN WAY @","1973","Commercial","Storage & Warehousing","Warehouse, Storage","104,948","Space Heater","1","1","N/A","191",119,108,34
"R081080007","55883","17679389","[46.1851313312385,-120.104101055944]","10711 CAMBIE RD  ","V6X 3G5","10711 CAMBIE RD @","1980","Commercial","Office Building (Primary Use)","Office","104,462","Package Unit","2","1","N/A","192",62,96,48
"R005286000","42920","8338906","[46.1683564418121,-119.989032701207]","6260 GRAYBAR RD  ","V6W 1H6","6260 GRAYBAR RD @","1988","Commercial","Storage & Warehousing","Industrial Flex Building","104,279","Space Heater","2","1","N/A","193",37,46,57
"R041674004","50390","15564231","[46.1841931690539,-120.072217170037]","4020 VIKING WAY  ","V6V 2N2","4020 VIKING WAY @","1992","Commercial","Storage & Warehousing","Industrial Flex Building","103,656","Package Unit","2","1","N/A","194",96,37,78
"R033865000","1452","767280","[46.192509,-120.072332]","13651 BRIDGEPORT RD  ","V6V 1J6","13651 BRIDGEPORT RD @","1972","Commercial","Storage & Warehousing","Warehouse, Storage","103,326","Space Heater","2","1","N/A","493",98,125,79
"R081060079","19834","4029691","[46.1853671364091,-120.106915396256]","10551 ST EDWARDS DR  ","V6X 3L8","10551 ST EDWARDS DR","1988","Commercial","Hotel","Hotel - Full Service","102,704","Ind Thu-Wall Heat Pump","3","1","Accent Inns Hotel","197",26,88,50
"R039686000","1584","4313976","[46.191268,-120.070829]","13900 BRIDGEPORT RD  ","V6V 1V3","13900 BRIDGEPORT RD @","1973","Commercial","Storage & Warehousing","Warehouse, Storage","102,536","Space Heater","1","1","N/A","549",98,85,25
"R031940001","83151","24201332","[46.134696,-120.065678]","14111 ENTERTAINMENT BLVD ","V6W 1A8","14111 ENTERTAINMENT BLVD @","1998","Commercial","Theatre Buildings","Theater, Cinema","101,929","Package Unit","1","1","SilverCity Cinemas","200",106,79,107
"R057603004","46034","11957654","[46.1706797452965,-120.146141626527]","7211 WESTMINSTER HWY  ","V6X 3K3","7211 WESTMINSTER HWY @","1985","Commercial","Hotel","Hotel - Full Service","100,831","N/A","3","1","Executive Hotel","198",87,45,26
"R132555000","45071","N/A","[46.191416,-120.168075]","5000 MILLER RD  ","V7B 1K6","5000 MILLER RD @","1988","Commercial","Storage & Warehousing","Warehouse, Distribution","100,399","Package Unit","1","1","Airport Warehouse Area","4",65,97,104
"R041674002","50388","15564215","[46.183989,-120.074093]","4011 VIKING WAY  ","V6V 2K9","4011 VIKING WAY @","1989","Commercial","Storage & Warehousing","Industrial Flex Building","99,650","Package Unit","2","1","N/A","205",73,85,57
"R067238001","86565","24817821","[46.154202,-120.129531]","8160 ST ALBANS RD  ","V6Y 2K9","8160 ST ALBANS RD","N/A","Institutional","Schools & Universities, College Or Technical Schools","Secondary School","122,273","N/A","1","1","Palmer Secondary","156",80,40,40
"R132475003","166858","N/A","[46.190649,-120.156705]","6260 MILLER RD  ","V7B 1B3","6260 MILLER RD @","N/A","Commercial","Storage & Warehousing","Warehouse, Distribution","98,220","N/A","1","1","Airport Warehouse Area","8",74,55,44
"R034762079","130837","3700917","[46.1982853481749,-120.066796196321]","14211 BURROWS RD  ","V6V 1K9","14211 BURROWS RD @","1978","Commercial","Storage & Warehousing","Warehouse, Storage","97,358","Space Heater","2","1","N/A","100",58,90,46
"R086912100","153958","28772768","[46.1269529,-120.1805517]","11900 NO 1 RD  ","V7E 1S9","11900 NO 1 RD","2012","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","139,434","Electric","4","1","N/A","159",58,63,28
"R083218000","20330","3752534","[46.1805881002343,-120.140724173614]","7400 RIVER RD  ","V6X 1X6","7400 RIVER RD @","1975","Commercial","Storage & Warehousing","Warehouse, Storage","96,353","Package Unit","1","1","N/A","117",94,87,106
"R044761005","78150","23710047","[46.132058,-120.095019]","11688 STEVESTON HWY  ","V7A 5J3","11688 STEVESTON HWY @","1998","Commercial","Shopping Centre (Community)","Community Shopping Centre","95,720","Package Unit","1","1","Ironwood","23",54,88,82
"R085221001","35417","2036142","[46.178878,-120.103611]","4751 SHELL RD  ","V6X 3H4","4751 SHELL RD @","1981","Commercial","Commercial Strata-Lot","Strata Warehouse","95,600","Space Heater","2","1","N/A","414",35,76,66
"R005504002","80255","23866195","[46.1657877166946,-119.98426428569]","6651 FRASERWOOD PL  ","V6W 1J3","6651 FRASERWOOD PL @","1997","Commercial","Office Building (Primary Use)","Office","95,143","Package Unit","2","1","N/A","343",79,64,29
"R064005008","6826","3432912","[46.1621705343631,-120.134717292089]","8100 GRANVILLE AVE ","V6Y 1R4","8100 GRANVILLE AVE @","1987","Commercial","Office Building (Primary Use)","Office","95,097","Warmed and Cooled Air","8","1","N/A","344",83,45,45
"R039828001","41614","5973589","[46.188588,-120.076354]","13471 CRESTWOOD PL  ","V6V 2G4","13471 CRESTWOOD PL @","1987","Commercial","Storage & Warehousing","Warehouse, Storage","94,610","Package Unit","2","1","N/A","373",89,94,126
"R058100193","3742","2160439","[46.172724,-120.153897]","6651 ELMBRIDGE WAY  ","V7C 5C2","6651 ELMBRIDGE WAY @","1981","Commercial","Storage & Warehousing","Warehouse, Storage","94,169","Package Unit","1","1","N/A","59",67,51,83
"R033300000","1336","3671968","[46.199675,-120.07661]","13451 VULCAN WAY  ","V6V 1K4","13451 VULCAN WAY @","1960","Commercial","Storage & Warehousing","Warehouse, Storage","92,518","Steam","2","1","N/A","309",61,45,86
"R057604007","88565","24113361","[46.170983,-120.144896]","5911 ALDERBRIDGE WAY  ","V6X 4C6","5911 ALDERBRIDGE WAY @","1998","Commercial","Hotel","Hotel - Full Service","92,515","Package Unit","16","2","C17 - Executive Hotel","364",30,74,66
"R007313425","122643","26536978","[46.154342,-120.019416]","18360 MCCARTNEY WAY  ","V6W 0A1","18360 MCCARTNEY WAY @","2007","Commercial","Storage & Warehousing","Warehouse, Storage","92,276","Complete HVAC","1","1","N/A","331",62,30,50
"R033303067","1340","3644154","[46.197736,-120.078128]","13331 VULCAN WAY  ","V6V 1K4","13331 VULCAN WAY @","1974","Commercial","Storage & Warehousing","Warehouse, Storage","92,141","Space Heater","1","3","C4 - Refer to Lat/Long","40",122,76,65
"R118022100","134763","27094251","[46.204632,-120.078986]","13100 MITCHELL RD  ","V6V 1M8","13100 MITCHELL RD @","2009","Commercial","Storage & Warehousing","Warehouse, Storage","91,807","Complete HVAC","1","2","C22","434",123,24,65
"R083722037","86293","24775754","[46.180966,-120.135251]","4540 NO 3 RD  ","V6X 4E4","4540 NO 3 RD","2000","Commercial","Commercial Strata-Lot","Fast Food Restaurant","91,721","Package Unit","2","1","N/A","415",63,47,74
"R057258998","62495","18602479","[46.170966,-120.137798]","5951 NO 3 RD  ","V6X 2E3","5951 NO 3 RD","1995","Commercial","Shopping Centre (Community)","Community Shopping Centre","91,683","N/A","7","2","M1","363",111,55,74
"R040173001","46139","12087297","[46.186932,-120.080633]","3771 JACOMBS RD  ","V6V 2L9","3771 JACOMBS RD @","1990","Commercial","Storage & Warehousing","Industrial Flex Building","90,754","Package Unit","2","3","C12 - Refer to Lat/Long","123",90,102,28
"R005290000","86428","24803651","[46.166593,-119.986407]","21320 GORDON WAY  ","V6W 1J8","21320 GORDON WAY @","2001","Commercial","Storage & Warehousing","Industrial Flex Building","90,209","Package Unit","2","2","C28","506",33,119,50
"R079173000","18866","3491102","[46.1951923878974,-120.122642796744]","9160 VAN HORNE WAY  ","V6X 1W3","9160 VAN HORNE WAY","1975","Commercial","Storage & Warehousing","Warehouse, Storage","89,959","Package Unit","1","1","N/A","144",82,37,34
"R033300001","1337","1050826","[46.19806,-120.076504]","13471 VULCAN WAY  ","V6V 1K4","13471 VULCAN WAY @","1975","Commercial","Storage & Warehousing","Warehouse, Distribution","89,638","Space Heater","1","1","N/A","380",77,105,36
"R006891087","156050","28291077","[46.15831,-120.013849]","7431 NELSON RD  ","V6W 1G3","7431 NELSON RD @","2003","Commercial","Storage & Warehousing","Warehouse, Storage","89,358","Package Unit","1","3","C6","52",38,77,70
"R033143001","139106","27351777","[46.200038,-120.059587]","1991 SAVAGE RD  ","V6V 0A4","1991 SAVAGE RD @","2008","Commercial","Commercial Strata-Lot","Warehouse, Distribution","89,052","N/A","2","2","C23","467",33,55,94
"R039693000","1589","4870085","[46.1856998956927,-120.072202423378]","3900 VIKING WAY  ","V6V 1N6","3900 VIKING WAY @","1974","Commercial","Storage & Warehousing","Cold Storage Facility","87,579","Complete HVAC","1","1","N/A","398",103,79,55
"R132508000","88536","N/A","[46.189749,-120.16809]","4900 MILLER RD  ","V7B 1K4","4900 MILLER RD @","1971","Commercial","Storage & Warehousing","Warehouse, Distribution","86,834","Package Unit","1","1","Airport Warehouse Area","6",35,46,125
"R056719045","130842","16198417","[46.170534,-120.135928]","5900 NO 3 RD  ","V6X 3P7","5900 NO 3 RD","1990","Commercial","Commercial Strata-Lot","Office","86,227","Warmed and Cooled Air","12","2","M2","388",73,29,66
"R057606000","67892","3645592","[46.177108,-120.142318]","7791 ALDERBRIDGE WAY  ","V6X 2A4","7791 ALDERBRIDGE WAY @","1973","Commercial","Storage & Warehousing","Warehouse, Storage","85,747","Package Unit","2","2","C10","98",67,37,43
"R016326000","46321","12333433","[46.1732739100999,-120.070467471344]","13700 INTERNATIONAL PL  ","V6V 2X8","13700 INTERNATIONAL PL @","1999","Commercial","Office Building (Primary Use)","Office","85,694","Package Unit","3","1","N/A","392",30,57,27
"R016330000","85094","24546372","[46.173954,-120.070435]","13711 INTERNATIONAL PL  ","V6V 2Z8","13711 INTERNATIONAL PL @","2000","Commercial","Office Building (Primary Use)","Office","85,694","Package Unit","3","1","N/A","393",46,89,72
"R130485000","55622","N/A","[46.183514,-120.176434]","4360 AGAR DR  ","V7B 1A3","4360 AGAR DR @","1992","Commercial","Industrial","Hangar, Maintenance & Office","85,423","Warmed and Cooled Air","1","1","Airport Warehouse Area","20",30,33,33
"R041541003","49347","15241432","[46.1823090612701,-120.078476633365]","13160 VANIER PL "," V6V 2J2","13160 VANIER PL @","1989","Commercial","Storage & Warehousing","Industrial Flex Building","85,075","Package Unit","1","1","N/A","182",62,57,42
"R012716902","87648","25133659","[46.129127,-120.090359]","12071 JACOBSON WAY  ","V6W 1L5","12071 JACOBSON WAY @","2005","Commercial","Storage & Warehousing","Warehouse, Storage","84,553","Package Unit","1","1","N/A","372",42,33,32
"R059400000","83073","24203581","[46.163094,-120.137597]","6911 NO 3 RD  ","V6Y 2C1","6911 NO 3 RD","N/A","Institutional","Government Buildings","Office","106,691","N/A","8","1","City Hall","189",24,78,86
"R034743061","1471","3477894","[46.198123,-120.068175]","2020 NO 6 RD  ","V6V 1P1","2020 NO 6 RD","1958","Commercial","Storage & Warehousing","Warehouse, Storage","84,525","Space Heater","1","1","N/A","419",74,27,93
"R044891002","2025","564061","[46.130065043921,-120.094964142791]","11120 HORSESHOE WAY  ","V7A 5H7","11120 HORSESHOE WAY @","1995","Commercial","Office Building (Primary Use)","Industrial Flex Building","84,461","Package Unit","3","1","N/A","395",52,77,87
"R082379001","78769","23732741","[46.185077,-120.129479]","3779 SEXSMITH RD  ","V6X 3Z10","3779 SEXSMITH RD @","1997","Commercial","Commercial Strata-Lot","Strata General Commercial","84,024","Package Unit","2","2","C16 - Refer to Lat/Long","357",96,80,96
"R057606000","3720","3645592","[46.17634,-120.141621]","7811 ALDERBRIDGE WAY  ","V6X 2A4","7811 ALDERBRIDGE WAY @","1973","Commercial","Storage & Warehousing","Warehouse, Storage","83,713","Package Unit","2","2","C10","97",72,68,67
"R016327009","64473","23108061","[46.17664,-120.071605]","13777 COMMERCE PKY  ","V6V 2X3","13777 COMMERCE PKY @","1996","Commercial","Office Building (Primary Use)","Office","83,675","Package Unit","3","1","N/A","399",49,45,124
"R093661708","24970","13107852","[46.16375,-120.168673]","5011 GRANVILLE AVE  ","V7C 1E6","5011 GRANVILLE AVE @","N/A","Institutional","Schools & Universities, College Or Technical Schools","Secondary School","143,317","N/A","2","1","Burnett Secondary","195",84,56,29
"R016327010","64474","23108096","[46.176394,-120.072345]","13775 COMMERCE PKY  ","V6V 2V4","13775 COMMERCE PKY @","1994","Commercial","Office Building (Primary Use)","Office","83,661","Package Unit","3","1","N/A","400",28,63,26
"R016327003","54886","17374782","[46.1769757604378,-120.070029164518]","13799 COMMERCE PKY  ","V6V 2N9","13799 COMMERCE PKY @","1991","Commercial","Office Building (Primary Use)","Office","82,614","Package Unit","2","1","N/A","406",127,82,43
"R085073002","66165","23488123","[46.183631,-120.104281]","10720 CAMBIE RD  ","V6X 1K8","10720 CAMBIE RD @","1997","Commercial","Hotel","Hotel - Full Service","82,034","Package Unit","6","1","Holiday Inn Hotel","407",105,80,52
"R082379001","78769","23732741","[46.18575,-120.129511]","3779 SEXSMITH RD  ","V6X 3Z9","3779 SEXSMITH RD @","1997","Commercial","Commercial Strata-Lot","Strata General Commercial","80,763","Package Unit","2","2","C16 - Refer to Lat/Long","356",73,39,33
"R033055000","87543","25104071","[46.200523,-120.064227]","14480 KNOX WAY  ","V6V 2Z5","14480 KNOX WAY @","2002","Commercial","Storage & Warehousing","Industrial Flex Building","80,137","Space Heater","2","2","C8","77",105,79,111
"R058982000","76107","17844525","[46.164304,-120.142753]","7551 MINORU GATE ","V6Y 1R8","7551 MINORU GATE @","N/A","Institutional","Government Buildings","Skating Rink","60,241","N/A","1","2","I1 - Minoru Arenas","201",105,77,69
"R058982000","76112","17844525","[46.1638584,-120.1432948]","7700 MINORU GATE ","V6Y 1R8","7700 MINORU GATE @","N/A","Institutional","Government Buildings","Library","91,533","N/A","2","2","I1 - Springfield Public Library","202",69,82,68
"R000821001","58151","18604897","[46.1731384842905,-119.969589320867]","22680 WESTMINSTER HWY  ","V6V 1B7","22680 WESTMINSTER HWY @","1997","Commercial","Churches & Bible Schools","Church","79,969","Space Heater","2","1","N/A","418",78,97,133
"R057902802","134761","27090434","[46.1747926281635,-120.151562851144]","6111 RIVER RD  ","V7C 0A2","6111 RIVER RD @","2007","Institutional","Government Buildings","Recreational & Cultural Buildings","360,181","N/A","2","1","Springfield Olympic Oval","204",91,68,90
"R033821999","78405","481408","[46.1955559154254,-120.076625737681]","13400 VULCAN WAY  ","V6V 1K2","13400 VULCAN WAY @","1959","Commercial","Storage & Warehousing","Warehouse, Storage","79,911","Space Heater","1","1","N/A","132",127,23,70
"R057587001","65848","23385561","[46.171728,-120.143173]","7380 ELMBRIDGE WAY  ","V6X 4A1","7380 ELMBRIDGE WAY @","1996","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","185,212","ELEC BBD-ZND","16","1","N/A","206",100,38,95
"R059246001","56186","1198807","[46.1652293992589,-120.14186055409]","6651 MINORU BLVD  ","V6Y 1Z2","6651 MINORU BLVD @","1973","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","215,074","ELEC BBOARD","17","1","N/A","207",86,91,32
"R059223189","113539","9115251","[46.166176,-120.142633]","6611 MINORU BLVD  ","V6Y 1Y9","6611 MINORU BLVD @","1971","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","212,615","FHA ELECT","17","2","R2","208",87,43,75
"R059223001","43524","9112707","[46.165706,-120.142204]","6631 MINORU BLVD  ","V6Y 1Z1","6631 MINORU BLVD @","1971","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","210,941","FHA ELECT","17","2","R2","209",32,98,39
"R057561007","184318","28325257","[46.171773,-120.139859]","7788 ACKROYD RD  ","V6X 2C9","7788 ACKROYD RD @","2015","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","225,959","N/A","15","3","R3","210",51,69,86
"R057561007","184105","28325257","[46.171837,-120.138422]","7888 ACKROYD RD  ","V6X 2C9","7888 ACKROYD RD @","2015","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","148,410","N/A","15","3","R3","211",39,55,55
"R057561007","183707","28325257","[46.17135,-120.139071]","7733 FIRBRIDGE WAY  ","V6X 2A9","7733 FIRBRIDGE WAY @","2015","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","118,947","N/A","12","3","R3","212",25,98,131
"R084333196","167311","28980301","[46.182994,-120.120174]","9388 MCKIM WAY  ","V6X 0J7","9388 MCKIM WAY @","2012","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","195,333","N/A","4","2","R4","213",72,39,76
"R084333145","165680","28913591","[46.182026,-120.119959]","9399 ODLIN RD  ","V6X 0J6","9399 ODLIN RD @","2011","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","143,802","N/A","4","2","R4","214",85,104,123
"R057556115","132636","27009271","[46.172252,-120.137147]","5811 NO 3 RD  ","V6X 4L7","5811 NO 3 RD","2007","Residential","Strata-Lot Residence (Condominium)","Mixed Retail With Residential","194,257","ELEC BBOARD","15","1","N/A","215",41,69,109
"R090542003","80346","23865156","[46.172671,-120.16238]","5888 DOVER CRES  ","V7C 5R9","5888 DOVER CR @","1997","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","187,442","ELEC BBD-ZND","4","1","N/A","216",49,68,47
"R090514001","64970","23231921","[46.1730167780273,-120.160993463944]","5880 DOVER CRES  ","V7C 5P5","5880 DOVER CR @","1995","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","178,653","N/A","4","1","N/A","217",81,89,31
"R057903100","169927","29113962","[46.172693,-120.156741]","5177 BRIGHOUSE WAY  ","V7C 0A7","5177 BRIGHOUSE WAY @","2013","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","175,184","N/A","12","6","R21 - River Green","218",67,99,45
"R057903230","169925","29162572","[46.17289,-120.155974]","5199 BRIGHOUSE WAY  ","V7C 0A7","5199 BRIGHOUSE WAY @","2013","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","160,238","N/A","11","6","R21 - River Green","219",132,54,98
"R057903347","172202","29164435","[46.173658,-120.155937]","5111 BRIGHOUSE WAY  ","V7C 0A6","5111 BRIGHOUSE WAY @","2013","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","101,322","N/A","12","6","R21 - River Green","220",92,124,78
"R057902237","169926","29113334","[46.173447,-120.156704]","5171 BRIGHOUSE WAY  ","V7C 0A6","5171 BRIGHOUSE WAY @","2013","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","90,571","N/A","12","6","R21 - River Green","221",117,106,43
"R057903425","172203","29165211","[46.174079,-120.156157]","5131 BRIGHOUSE WAY  ","V7C 0A6","5131 BRIGHOUSE WAY @","2013","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","86,919","N/A","8","6","R21 - River Green","222",39,63,128
"R057902208","169678","29113041","[46.173858,-120.15694]","5151 BRIGHOUSE WAY  ","V7C 0A6","5151 BRIGHOUSE WAY @","2013","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","77,071","N/A","6","6","R21 - River Green","223",94,26,68
"R057561106","172400","29194377","[46.171786,-120.137217]","7988 ACKROYD RD  ","V6X 0K6","7988 ACKROYD RD @","2013","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","163,458","Electric","15","2","R5","224",51,64,24
"R057561299","172400","29196302","[46.171395,-120.137899]","7979 FIRBRIDGE WAY  ","V6X 0K7","7979 FIRBRIDGE WAY @","2013","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","112,633","Electric","15","2","R5","225",30,56,95
"R060588000","181765","28727843","[46.166672,-120.12388]","9099 COOK RD ","V6Y 0G5","9099 COOK RD @","N/A","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","162,507","Electric","15","1","N/A","226",47,35,61
